institute_name,hostel_available,boys_hostel,girls_hostel,official_website
"GOVERNMENT ENGINEERING COLLEGE, GANDHINAGAR",Yes,Yes,Yes,https://gecg28.ac.in/
"GOVERNMENT ENGINEERING COLLEGE, GODHRA",Yes,Yes,Yes,https://gecgodhra.ac.in
"GOVERNMENT ENGINEERING COLLEGE, MODASA",Yes,Yes,Yes,https://gecmodasa.ac.in
"GOVERNMENT ENGINEERING COLLEGE, PALANPUR",Yes,Yes,Yes,https://gecpalanpur.ac.in
"GOVERNMENT ENGINEERING COLLEGE, PATAN",Yes,Yes,Yes,https://gecpatan.ac.in
"GOVERNMENT ENGINEERING COLLEGE, RAJKOT",Yes,Yes,Yes,https://gecrajkot.ac.in
"GOVERNMENT ENGINEERING COLLEGE, VALSAD",Yes,Yes,Yes,https://gecvalsad.ac.in
"GROW MORE FACULTY OF ENGINEERING, BERNA, HIMMATNAGAR",Yes,Yes,Yes,http://www.growmore.ac.in
"GUJARAT POWER ENGG. AND RES. INST. (GPERI) (PPP), MEVAD, MEHSANA",No,No,No,https://gperi.ac.in
"GUJARAT TECHNOLOGICAL UNIVERSITY SCHOOL OF ENGINEERING AND TECHNOLOGY, CHANDKHEDA, AHMEDABAD",Yes,Yes,Yes,https://www.gtu.ac.in
"GYANMANJARI INSTITUTE OF TECHNOLOGY BHAVNAGAR",Yes,Yes,Yes,https://gmit.edu.in
"HANSABA COLLEGE OF ENGIEERING AND TECHNOLOGY, SIDDHPUR",Yes,Yes,Yes,https://gokuluniversity.ac.in/hcet
"HASMUKH GOSWAMI COLLEGE OF ENGG, VAHELAL",Yes,Yes,Yes,https://hgce.org
"HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH, KERA",Yes,Yes,Yes,https://hjdinstitute.org
"INDUS INSTITUTE OF TECH. & ENGG., RACHARDA, AHMEDABAD",Yes,Yes,Yes,https://indusuni.ac.in
"INSTITUTE OF ADVANCED RESEARCH, GANDHINAGAR",Yes,Yes,Yes,https://iar.ac.in
"INSTITUTE OF INFRASTRUCTURE,TECHNOLOGY,RESEARCH AND MANAGEMENT(IITRAM),AHMEDABAD",Yes,Yes,Yes,https://iitram.ac.in
"INSTITUTE OF TECHNOLOGY, NIRMA UNIVERSITY OF SCIENCE & TECHNOLOGY, AHMEDABAD",Yes,Yes,Yes,https://nirmauni.ac.in
"Ipcowala Institute Of Engineering And Technology Dharmaj",Yes,Yes,Yes,https://iietdharmaj.ac.in
"JG UNIVERSITY - SCHOOL OF ENGINEERING, AHMEDABAD",Yes,Yes,Yes,https://jguni.in
"K.J. INSTITUTE OF ENGG. AND TECH., SAVALI",Yes,Yes,Yes,https://kjit.org
"KALOL INSTITUTE OF TECH. & RESEARCH CENTER ,KALOL",Yes,Yes,Yes,https://kirc.ac.in
"KANKESHWARI DEVI COLLEGE OF ENGINEERING, JAMNAGAR",Yes,Yes,Yes,https://kdce.in
"KRISHNA SCHOOL OF EMERGING TECHNOLOGY & APPLIED RESEARCH (FORMERLY KNOWN AS BABARIA INSTITUTE OF TECHNOLOGY)",Yes,Yes,Yes,https://bitseducampus.org
"L.D.COLLEGE OF ENGINEERING, AHMEDABAD",Yes,Yes,Yes,https://ldce.ac.in
"L.D.R.P. INSTITUTE OF TECH. & RESEARCH., GANDHINAGAR",Yes,Yes,Yes,https://www.ldrp.ac.in
"L.E.COLLEGE ,MORBI",Yes,Yes,Yes,https://www.lecollege.ac.in
"L.J. INSTITUTE OF ENGG AND TECH., AHMEDABAD",Yes,Yes,Yes,https://www.ljiet.ac.in
"LALJIBHAI CHATURBHAI INSTITUTE OF TECH., BHANDU, MAHESANA",Yes,Yes,Yes,https://lcit.org
"LAXMI INSTITUTE OF TECHNOLOGY, SARIGAM, VALSAD",Yes,Yes,Yes,https://lit.laxmi.edu.in
"MADHUBEN & BHANUBHAI PATEL INSTITUTE OF TECHNOLOGY, NEW V.V.NAGAR",Yes,Yes,Yes,https://www.mbict.ac.in
"MAHATMA GANDHI INSTITUTE OF TECHNICAL EDUCATION & RESEARCH CENTRE, NAVSARI",Yes,Yes,Yes,https://mgiter.ac.in
"MARWADI EDUCATION FOUNDATION'S GROUP OF INSTITUTIONS - FACULTY OF ENGINEERING & TECHNOLOGY, RAJKOT",Yes,Yes,Yes,https://www.marwadiuniversity.ac.in
"MERCHANT ENGG. COLLEGE, BASNA. VISNAGAR",Yes,Yes,Yes,http://www.mecbasna.ac.in
"NARNARAYAN SHASTRI INSTITUTE OF TECHNOLOGY, JETALPUR, AHMEDABAD",Yes,Yes,Yes,https://nsit.ac.in
"NEOTECH INSTITUTE OF TECHNOLOGY, VIROD, VADODARA",Yes,Yes,Yes,https://neotech.ac.in
"NOBLE ENGINEERING COLLEGE, JUNAGADH",Yes,Yes,Yes,https://ngivbt.edu.in
"OM ENGINEERING COLLEGE JUNAGADH",Yes,Yes,Yes,https://omeducation.edu.in
"Om Institute Of Technology, Shahera, Dist:Panchmahal",Yes,Yes,Yes,http://www.omit.ac.in
"P.P. SAVANI SCHOOL OF ENGINEERING, P.P. SAVANI UNIVERSITY, KOSAMBA",Yes,Yes,Yes,https://www.ppsavani.ac.in
"PACIFIC SCHOOL OF ENGINEERING, SURAT",Yes,Yes,Yes,https://www.pacific-soe.ac.in
"Pandit Deendayal Energy University ,Gandhinagar",Yes,Yes,Yes,https://www.pdpu.ac.in
"Parul Institute of Engineering & Technology, Waghodia, Vadodara",Yes,Yes,Yes,https://paruluniversity.ac.in
"Prime Institute of Engineering and Technology, Jalalpore, Navsari",Yes,Yes,Yes,http://primeiet.in
"R.K. UNIVERSITY - SCHOOL OF ENGINEERING, RAJKOT",Yes,Yes,Yes,https://rku.ac.in
"Rai School of Engineering, Dholka, Ahmedabad",Yes,Yes,Yes,https://raiuniversity.edu
"S.P.B. PATEL ENGG. COLLEGE, (SAFFRONY), LINCH, MEHSANA",Yes,Yes,Yes,https://www.saffrony.ac.in
"S.S.AGRAWAL INSTITUTE OF ENGINEERING & TECHNOLOGY NAVSARI",Yes,Yes,Yes,https://ssagrawal.org
"SAL COLLEGE OF ENGINEERING , AHMEDABAD",Yes,Yes,Yes,https://www.sal.edu.in
"SANJAYBHAI RAJGURU COLLEGE OF ENGG. , RAJKOT",Yes,Yes,Yes,http://srec.ac.in
"SANKALCHAND PATEL COLLEGE OF ENGG., VISNAGAR",Yes,Yes,Yes,https://spu.ac.in
"SARDAR PATEL COLLEGE OF ENGINEERING, BAKROL ANAND",Yes,Yes,Yes,https://spec.edu.in
"SARDAR VALLABHBHAI GLOBAL University - UCP Institute of Technology, Ahmedabad",Yes,Yes,Yes,https://svgu.ac.in
"SARDAR VALLABHBHAI PATEL INSTITUTE OF TECH.,VASAD",Yes,Yes,Yes,https://svitvasad.ac.in
"SARVAJANIK COLLEGE OF ENGG. & TECH. , SURAT",Yes,Yes,Yes,https://scet.ac.in
"SCHOOL OF ENGINEERING AND TECHNOLOGY, NAVRACHANA UNIVERSITY, VADODARA",Yes,Yes,Yes,https://nuv.ac.in
"SCHOOL OF ENGINEERING, INDRASHIL UNIVERSITY, KADI",Yes,Yes,Yes,https://indrashiluniversity.edu.in
"SCHOOL OF TECHNOLOGY, GSFC UNIVERSITY, VADODARA",Yes,Yes,Yes,https://www.gsfcuni.edu.in
"School of Engineering, Plastindia International University, Vapi",Yes,Yes,Yes,https://www.piuvapi.ac.in
"SHANKERSINH VAGHELA BAPU INSTITUTE OF TECH., UNAVA, GANDHINAGAR",Yes,Yes,Yes,https://bapugkv.ac.in
"SHANTILAL SHAH ENGINEERING COLLEGE ,BHAVNAGAR",Yes,Yes,Yes,https://www.ssgec.ac.in
"SHREE DHANVANTARY COLLEGE OF ENGINEERING & TECHNOLOGY, KIM",Yes,Yes,Yes,https://sdcet.org.in
"Shree Parekh Engineeirng College, Mahuva",Yes,Yes,Yes,http://www.parekhengineering.ac.in
"SHREE SWAMINARAYAN INSTITUTE OF TECHNOLOGY, BHAT, GANDHINAGAR",Yes,Yes,Yes,https://ssit.co.in
"Shri J M Sabva Institute Of Engineering And Technology, Botad",Yes,Yes,Yes,http://jmsabva.com
"SHRI LABHUBHAI TRIVEDI INSTITUTE OF ENGINEERING AND TECHNOLOGY, RAJKOT",Yes,Yes,Yes,https://sltiet.edu.in
"SHRI SADVIDHYA MANDAL INSTITUTE OF TECH., BHARUCH",Yes,Yes,Yes,https://svmit.ac.in
"Shri Satsangi Saketdham 'Ram Ashram' Group Of Institutions, Vadasma",No,No,No,http://www.satsangicampus.org
"SHRI SITARAM N PATEL INST. OF TECH. & RES. (SNPIT), BARDOLI, UMRAKH (VIDHYABHARTI TRUST)",No,No,No,https://snpitrc.ac.in
"SHRI SWAMI ATMANAND SARASWATI INSTITUTE OF TECH., SURAT",Yes,Yes,Yes,https://ssasit.ac.in
"SHROFF S.R.ROTARY INST. OF CHEMICAL TECHNOLOGY, VATATIA,BHARUCH",Yes,Yes,Yes,https://srict.in
"SILVER OAK COLLEGE OF ENGG., & TECH. (WITHIN AMHEDABAD MUNICIPAL CORPORATION LIMIT), AHMEDABAD",Yes,Yes,Yes,https://silveroakuni.ac.in
"SMT. S.R. PATEL ENGG. COLLEGE, DABHI, UNJHA",Yes,Yes,Yes,https://srpec.org.in
"SMT. SHANTABEN HARIBHAI GAJERA ENGINEERING COLLEGE Amreli",Yes,Yes,Yes,https://amreli.gajeratrust.org
"SWAMINARAYAN COLLEGE OF ENGG. & TECH., KALOL",Yes,Yes,Yes,https://scetkalol.in
"SWARRNIM INSTITUTE OF TECHNOLOGY",Yes,Yes,Yes,https://www.swarrnim.edu.in
"UNITEDWORLD INSTITUTE OF TECHNOLOGY, UVARSAD, GANDHINAGAR",Yes,Yes,Yes,https://unitedworld.edu.in
"V.V.P. ENGINEERING COLLEGE, RAJKOT",Yes,Yes,Yes,https://www.vveec.ac.in
"VADODARA INSTITUTE OF ENGINEERING, KOTAMBI, WAGHODIYA, VADODARA",Yes,Yes,Yes,https://www.vierct.ac.in
"VEERAYATAN INSTITUTE OF ENGINEERING, MANDVI",Yes,Yes,Yes,https://veerayatan.org
"VIDHYADEEP INSTITUTE OF ENGINEERING & TECHNOLOGY, ANITA(KIM), SURAT",Yes,Yes,Yes,https://vidhyadeepuni.ac.in
"VIDUSH SOMANY INSTITUTE OF TECH. & RES., KADI",Yes,Yes,Yes,https://vsitr.ac.in
"VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE, CHANDKHEDA,GANDHINAGAR",Yes,Yes,Yes,https://vgecg.ac.in
